study_id,ref,BNF_or_Denit,data_type,number_sites,latitude_decimal,longitude_decimal,biome_manuscript,Biome_rough,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_N_Dep,Extracted_DtB,Extracted_Elevation,Extracted_Roughness,Extracted_Slope,Extracted_Seasonality,Extracted_modelBNF,Extracted_modelNloss
78,"Wieder, W., C. Cleveland, and A. Townsend. 2011. Throughfall exclusion and leaf litter addition drive higher rates of soil nitrous oxide emissions from a lowland wet tropical forest. GLOBAL CHANGE BIOLOGY 17:3195–3207.",Denitrification,field flux,1,8.72,-83.62,unclear deciduous or evergreen,EBF,2831.304688,25.89492035,1297.676147,55,378,518,,-1.333097339,7.335071087,1.056699991,211.9799957,7726,53.5,73.5,7.022987366,67.90673065,,
79,"Wolf, K., E. Veldkamp, J. Homeier, and G. Martinson. 2011. Nitrogen availability links forest productivity, soil nitrous oxide and nitric oxide fluxes of a tropical montane forest in southern Ecuador. GLOBAL BIOGEOCHEMICAL CYCLES 25.",Denitrification,field flux,3,-4.1,-78.97,evergreen broadleaf tropical forests,EBF,1356.109497,20.11813354,962.2095337,55,1027,657,609.9661255,-0.733048797,5.50903511,2.055700064,1704.859985,1337,1524.5,337.5,29.81136703,39.34651566,,
80,"Wick, B., E. Veldkamp, W. de Mello, M. Keller, and P. Crill. 2005. Nitrous oxide fluxes and nitrogen cycling along a pasture chronosequence in Central Amazonia, Brazil. BIOGEOSCIENCES 2:175–187.",Denitrification,field flux,1,-3.09,-54.72,evergreen broadleaf tropical forests,EBF,1850.476196,26.67986107,1023.404785,48,296,255,247.8152924,-1.430611491,6.724155426,0.735700011,576.25,4532,61.5,29.5,2.939361095,65.67215729,3.51350832,3.197499752
80,"Wick, B., E. Veldkamp, W. de Mello, M. Keller, and P. Crill. 2005. Nitrous oxide fluxes and nitrogen cycling along a pasture chronosequence in Central Amazonia, Brazil. BIOGEOSCIENCES 2:175–187.",Denitrification,field flux,1,-3.09,-54.72,grassland tropical C4,Grassland,1850.476196,26.67986107,1023.404785,48,296,255,247.8152924,-1.430611491,6.724155426,0.735700011,576.25,4532,61.5,29.5,2.939361095,65.67215729,3.51350832,3.197499752
81,"Luizao, F., P. Matson, G. Livingston, R. Luizao, and P. Vitousek. 1989. NITROUS OXIDE FLUX FOLLOWING TROPICAL LAND CLEARING. GLOBAL BIOGEOCHEMICAL CYCLES 3:281–285.",Denitrification,field flux,1,-2.13,-60.04,evergreen broadleaf tropical forests,EBF,2419.971436,27.19837189,1089.047607,41,342,233,253.6370697,-1.397310257,6.550548553,1.140400052,287.1000061,1233,106.5,22.5,1.6222651,35.95631027,3.142755747,2.938362122
81,"Luizao, F., P. Matson, G. Livingston, R. Luizao, and P. Vitousek. 1989. NITROUS OXIDE FLUX FOLLOWING TROPICAL LAND CLEARING. GLOBAL BIOGEOCHEMICAL CYCLES 3:281–285.",Denitrification,field flux,1,-2.13,-60.04,grassland tropical C4,Grassland,2419.971436,27.19837189,1089.047607,41,342,233,253.6370697,-1.397310257,6.550548553,1.140400052,287.1000061,1233,106.5,22.5,1.6222651,35.95631027,3.142755747,2.938362122
82,"McJannet, D., J. Wallace, R. Keen, A. Hawdon, and J. Kemei. 2012. The filtering capacity of a tropical riverine wetland: II. Sediment and nutrient balances. HYDROLOGICAL PROCESSES 26:53–72.",Denitrification,inferred*,1,-18.05,145.83,wetland,Permanent Wetlands,2007.319092,24.18436432,1293.180908,55,374,216,425.132843,-1.133757591,4.754904747,1.492799997,184.5399933,5561,19,7.5,0.403365672,77.40412903,,
83,"Nepstad, D., P. Moutinho, M. Dias, E. Davidson, G. Cardinot, D. Markewitz, R. Figueiredo, N. Vianna, J. Chambers, D. Ray, J. Guerreiros, P. Lefebvre, L. Sternberg, M. Moreira, L. Barros, F. Ishida, I. Tohlver, E. Belk, K. Kalif, and K. Schwalbe. 2002. The effects of partial throughfall exclusion on canopy processes, aboveground production, and biogeochemistry of an Amazon forest. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 107.",Denitrification,field flux,1,-2.9,-54.95,evergreen broadleaf tropical forests,EBF,1907.328613,26.26946449,1022.842834,41,336,249,340.7363281,-1.316704273,6.96111536,1.20480001,576.25,3292,196,4,0.275552899,65.32118988,2.825049162,2.723903418
84,"Riley, R. 1996. N-process-level regulation of nitrogen trace gas flux in Hawaiian montane rainforest. SOIL BIOLOGY & BIOCHEMISTRY 28:1251–1260.",Denitrification,lab flux,2,19.42,-155.25,evergreen broadleaf tropical forests,EBF,1729.138062,16.53160667,864.2571411,53,820,629,,-0.636624277,4.380115509,1.085800052,57.52999878,2531,1181,27.5,2.385552645,58.67502594,,
84,"Riley, R. 1996. N-process-level regulation of nitrogen trace gas flux in Hawaiian montane rainforest. SOIL BIOLOGY & BIOCHEMISTRY 28:1251–1260.",Denitrification,lab flux,1,21.12,-156.9,evergreen broadleaf tropical forests,EBF,1354.542847,18.76144791,839.647583,53,1109,711,,-0.829470694,5.9070158,2.207600117,57.52999878,3819,1216.5,59.5,5.571763039,61.60957718,,
84,"Riley, R. 1996. N-process-level regulation of nitrogen trace gas flux in Hawaiian montane rainforest. SOIL BIOLOGY & BIOCHEMISTRY 28:1251–1260.",Denitrification,lab flux,1,22.13,-159.62,evergreen broadleaf tropical forests,EBF,1917.904785,16.33745956,823.6190186,55,652,621,,-1.109730959,5.76067543,2.219500065,65.30000305,4402,1071.5,49.5,3.511534929,64.83042145,,
84,"Riley, R. 1996. N-process-level regulation of nitrogen trace gas flux in Hawaiian montane rainforest. SOIL BIOLOGY & BIOCHEMISTRY 28:1251–1260.",Denitrification,lab flux,1,20.05,-155.68,evergreen broadleaf tropical forests,EBF,1923.361938,16.69184494,1029.123779,52,858,671,1069.520386,-0.08775755,2.499278545,2.36680007,57.52999878,1779,1089,78,6.438503742,45.97636032,,
85,"Kiese, R., and K. Butterbach-Bahl. 2002. N2O and CO2 emissions from three different tropical forest sites in the wet tropics of Queensland, Australia. SOIL BIOLOGY & BIOCHEMISTRY 34:975–987.",Denitrification,field flux,1,-17.55,145.97,evergreen broadleaf tropical forests,EBF,3820.342773,24.05861092,1386.185669,52,537,334,432.0766602,-0.854157329,5.258936405,1.233500004,104.4300003,3701,43.5,30.5,2.682002068,88.28977203,,
85,"Kiese, R., and K. Butterbach-Bahl. 2002. N2O and CO2 emissions from three different tropical forest sites in the wet tropics of Queensland, Australia. SOIL BIOLOGY & BIOCHEMISTRY 34:975–987.",Denitrification,field flux,1,-17.27,145.9,evergreen broadleaf tropical forests,EBF,3844.195313,23.07500076,1355.890503,50,812,383,469.621521,-1.451698899,7.185005665,2.107800007,104.4300003,2336,63.5,51,5.029825211,73.22104645,,
85,"Kiese, R., and K. Butterbach-Bahl. 2002. N2O and CO2 emissions from three different tropical forest sites in the wet tropics of Queensland, Australia. SOIL BIOLOGY & BIOCHEMISTRY 34:975–987.",Denitrification,field flux,1,-17.28,145.63,evergreen broadleaf tropical forests,EBF,2221.74292,21.11507797,1218.109497,55,361,258,469.621521,-1.208868504,5.282855988,2.127300024,104.4300003,1006,763.5,39,2.946850061,89.32117462,,
86,"SANHUEZA, E., W. HAO, D. SCHARFFE, L. DONOSO, and P. CRUTZEN. 1990. N2O AND NO EMISSIONS FROM SOILS OF THE NORTHERN PART OF THE GUAYANA SHIELD, VENEZUELA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 95:22481–22488.",Denitrification,field flux,1,7.85,-62.95,macrothermic tropophilous semideciduous fores,EBF,1318.109497,26.93135071,1011.93811,57,347,183,397.3809509,-0.339164853,4.095575809,0.51849997,698.5800171,6600,155.5,16.5,1.259136081,69.86666107,3.76452136,2.936788321
86,"SANHUEZA, E., W. HAO, D. SCHARFFE, L. DONOSO, and P. CRUTZEN. 1990. N2O AND NO EMISSIONS FROM SOILS OF THE NORTHERN PART OF THE GUAYANA SHIELD, VENEZUELA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 95:22481–22488.",Denitrification,field flux,1,7.85,-62.95,transition area between the forest and the savanna,Grassland,1318.109497,26.93135071,1011.93811,57,347,183,397.3809509,-0.339164853,4.095575809,0.51849997,698.5800171,6600,155.5,16.5,1.259136081,69.86666107,3.76452136,2.936788321
86,"SANHUEZA, E., W. HAO, D. SCHARFFE, L. DONOSO, and P. CRUTZEN. 1990. N2O AND NO EMISSIONS FROM SOILS OF THE NORTHERN PART OF THE GUAYANA SHIELD, VENEZUELA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 95:22481–22488.",Denitrification,field flux,1,7.85,-62.95,macrothermic scrub savanna,Savannas,1318.109497,26.93135071,1011.93811,57,347,183,397.3809509,-0.339164853,4.095575809,0.51849997,698.5800171,6600,155.5,16.5,1.259136081,69.86666107,3.76452136,2.936788321
87,"Breuer, L., H. Papen, and K. Butterbach-Bahl. 2000. N2O emission from tropical forest soils of Australia. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 105:26353–26367.",Denitrification,field flux,1,-17.6,145.57,evergreen broadleaf tropical forests,EBF,2410.980957,19.44882965,1201.085693,52,506,309,432.0766602,-1.295314789,6.280964851,1.361600041,104.4300003,1710,989,24,1.465358019,63.5104866,,
87,"Breuer, L., H. Papen, and K. Butterbach-Bahl. 2000. N2O emission from tropical forest soils of Australia. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 105:26353–26367.",Denitrification,field flux,2,-17.28,145.63,evergreen broadleaf tropical forests,EBF,2221.74292,21.11507797,1218.109497,55,361,258,469.621521,-1.208868504,5.282855988,2.127300024,104.4300003,1006,763.5,39,2.946850061,89.32117462,,
88,"Fernandes, S., and P. Bharathi. 2011. Nitrate levels modulate denitrification activity in tropical mangrove sediments (Goa, India). ENVIRONMENTAL MONITORING AND ASSESSMENT 173:117–125.",Denitrification,lab flux,1,15.51,73.88,mangrove,Permanent Wetlands,3229.538086,27.26914597,984.7999878,61,377,470,540.7180786,-0.638555884,3.678909779,0.299899995,1319.22998,9506,1,1.5,0.061874468,145.2128143,,
89,"PARSONS, W., M. MITRE, M. KELLER, and W. REINERS. 1993. NITRATE LIMITATION OF N2O PRODUCTION AND DENITRIFICATION FROM TROPICAL PASTURE AND RAIN-FOREST SOILS. BIOGEOCHEMISTRY 22:179–193.",Denitrification,field flux,1,10.43,-84,evergreen broadleaf tropical forests,EBF,3560.090576,26.46051598,1409.833374,50,441,594,878.6196899,-0.930319846,6.979044437,1.37349999,231.3200073,2512,50,15,1.231472015,38.5550766,,
89,"PARSONS, W., M. MITRE, M. KELLER, and W. REINERS. 1993. NITRATE LIMITATION OF N2O PRODUCTION AND DENITRIFICATION FROM TROPICAL PASTURE AND RAIN-FOREST SOILS. BIOGEOCHEMISTRY 22:179–193.",Denitrification,field flux,1,10.43,-84,grassland tropical C4,Grassland,3560.090576,26.46051598,1409.833374,50,441,594,878.6196899,-0.930319846,6.979044437,1.37349999,231.3200073,2512,50,15,1.231472015,38.5550766,,
90,"Kiese, R., H. Papen, E. Zumbusch, and K. Butterbach-Bahl. 2002. Nitrification activity in tropical rain forest soils of the Coastal Lowlands and Atherton Tablelands, Queensland, Australia. JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE 165:682–685.",Denitrification,inferred*,1,-17.27,145.9,evergreen broadleaf tropical forests,EBF,3844.195313,23.07500076,1355.890503,50,812,383,469.621521,-1.451698899,7.185005665,2.107800007,104.4300003,2336,63.5,51,5.029825211,73.22104645,,
90,"Kiese, R., H. Papen, E. Zumbusch, and K. Butterbach-Bahl. 2002. Nitrification activity in tropical rain forest soils of the Coastal Lowlands and Atherton Tablelands, Queensland, Australia. JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE 165:682–685.",Denitrification,inferred*,1,-17.28,145.63,evergreen broadleaf tropical forests,EBF,2221.74292,21.11507797,1218.109497,55,361,258,469.621521,-1.208868504,5.282855988,2.127300024,104.4300003,1006,763.5,39,2.946850061,89.32117462,,
91,"Davidson, E., C. de Carvalho, I. Vieira, R. Figueiredo, P. Moutinho, F. Ishida, M. dos Santos, J. Guerrero, K. Kalif, and R. Saba. 2004. Nitrogen and phosphorus limitation of biomass growth in a tropical secondary forest. ECOLOGICAL APPLICATIONS 14:S150–S163.",Denitrification,field flux,1,-2.98,-47.52,evergreen broadleaf tropical forests,EBF,2212.128418,26.60202408,1124.385742,47,282,227,309.7329407,-0.516342223,4.60855484,0.772800028,1255.550049,6215,136.5,11.5,0.969343483,75.48887634,4.0351758,3.387189627
92,"Kreibich, H., J. Lehmann, G. Scheufele, and J. Kern. 2003. Nitrogen availability and leaching during the terrestrial phase in a varzea forest of the Central Amazon floodplain. BIOLOGY AND FERTILITY OF SOILS 39:62–64.",Denitrification,lab flux,1,-3.25,-59.97,evergreen broadleaf tropical forests,EBF,2181.276123,27.65670776,1039.485718,,,,471.989502,,,,287.1000061,2493,25,2.5,0.190419883,51.40261459,3.062308788,2.716034174
93,"Cardoso, A., F. Alari, N. de Andrade, T. Nascimento, F. van Cleef, B. Alves, A. Ruggieri, and E. Malheiros. 2022. Nitrous oxide emissions in silvopastoral systems: Key driving variables and seasonality. AGRICULTURAL AND FOREST METEOROLOGY 316.",Denitrification,field flux,2,-22.8172,-47.0694,grassland tropical C4,Grassland,1334.838135,21.02579498,871.4428711,,,,520.0507813,-0.689460278,3.664802074,,,1657,606.5,16,1.443467379,68.53224945,,
94,"GARCIAMENDEZ, G., J. MAASS, P. MATSON, and P. VITOUSEK. 1991. NITROGEN TRANSFORMATIONS AND NITROUS-OXIDE FLUX IN A TROPICAL DECIDUOUS FOREST IN MEXICO. OECOLOGIA 88:362–366.",Denitrification,field flux,1,19.5,-105.05,deciduous broadleaf tropical forests,DBF,898.0142822,25.78363037,857.7952271,65,235,286,525.8493652,-1.028854966,4.282283306,0.818099976,1930.939941,0,86.5,39,3.421649456,110.4207001,,
94,"GARCIAMENDEZ, G., J. MAASS, P. MATSON, and P. VITOUSEK. 1991. NITROGEN TRANSFORMATIONS AND NITROUS-OXIDE FLUX IN A TROPICAL DECIDUOUS FOREST IN MEXICO. OECOLOGIA 88:362–366.",Denitrification,field flux,1,19.5,-105.05,grassland tropical C4,Grassland,898.0142822,25.78363037,857.7952271,65,235,286,525.8493652,-1.028854966,4.282283306,0.818099976,1930.939941,0,86.5,39,3.421649456,110.4207001,,
95,"Simona, C., D. Ariangelo, G. John, N. Nina, M. Ruben, and S. Jose. 2004. Nitrous oxide and methane fluxes from soils of the Orinoco savanna under different land uses. GLOBAL CHANGE BIOLOGY 10:1947–1960.",Denitrification,field flux,3,9.58,-63.5,"""herbaceous savanna"" - tropical savanna?",Grassland,1045.071411,26.79759979,933.0666504,60,258,212,471.843811,-0.299547672,2.898072004,0.666100025,1265.719971,3676,166,9,0.796506882,70.55930328,,
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,-1.34,30.03,wetland,Permanent Wetlands,1022.757141,18.19271851,823.4143066,56,397,367,601.4869995,-0.772107303,4.236962318,1.049800038,880.4799805,2402,1918.5,109,9.240694046,47.76196671,12.2390089,9.956158638
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,6.67,-75.67,wetland,Permanent Wetlands,2315.338135,11.44424629,997.2000122,51,1367,548,732.2373047,-1.324329734,4.650128365,1.052399993,784.539978,1351,3240,31,1.733517408,63.77308273,,
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,19.29,-99.09,wetland,Permanent Wetlands,746.2190552,16.5484333,688.2523804,74,192,243,796.6096191,,,1.095700026,3149.600098,2835,2238,3,0.161989063,96.54405212,2.925651312,5.482426167
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,5.32,115.66,wetland,Permanent Wetlands,4222.590332,27.89704514,1460.56665,52,1037,488,729.1248779,-1.888298631,7.813860416,1.21389997,271.4200134,2221,34.5,11,0.553346634,20.25130272,,
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,4.99,-52.45,wetland,Permanent Wetlands,2349.619141,26.19992065,1273.400024,49,626,478,456.3006287,-0.810390711,5.570723534,1.26820004,175.7799988,5579,9,6.5,0.51283145,49.85140991,,
96,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",Denitrification,field flux,1,20.62,96.93,wetland,Permanent Wetlands,1618.261963,22.10087204,947.0714111,59,291,254,546.8988647,-1.037440419,4.139339924,,1815.589966,7498,886,3,0.127502084,85.84365845,2.536670923,3.226584673
97,"Zhang, J., Y. Yu, T. Zhu, and Z. Cai. 2014. The mechanisms governing low denitrification capacity and high nitrogen oxide gas emissions in subtropical forest soils in China. JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES 119:1670–1683.",Denitrification,lab flux,3,19.93,110.23,subtropical forest,DBF,1758.69519,24.50720215,1169.928589,54,437,225,518.7421265,-1.43887639,5.915803909,0.940400004,3984.610107,2920,102.5,24,2.058450222,69.61898804,,
98,"STEUDLER, P., J. MELILLO, R. BOWDEN, M. CASTRO, and A. LUGO. 1991. THE EFFECTS OF NATURAL AND HUMAN DISTURBANCES ON SOIL-NITROGEN DYNAMICS AND TRACE GAS FLUXES IN A PUERTO-RICAN WET FOREST. BIOTROPICA 23:356–363.",Denitrification,field flux,1,18.31,-65.75,evergreen broadleaf tropical forest,EBF,2462.638184,22.64632988,1291.890503,50,568,529,469.2328796,-1.317179084,7.512785912,1.578500032,214.8999939,494,371,159,14.07960606,25.69126129,,
99,"Yashiro, Y., W. Kadir, T. Okuda, and H. Koizumi. 2008. The effects of logging on soil greenhouse gas (CO2,CH4, N2O) flux in a tropical rain forest, Peninsular Malaysia. AGRICULTURAL AND FOREST METEOROLOGY 148:799–806.",Denitrification,field flux,1,2.98,102.31,evergreen broadleaf tropical forest,EBF,2085.519043,27.43940544,1180.576172,50,521,438,513.0540161,-0.926077426,6.156702518,0.89349997,1664.079956,1733,128,14.5,0.746304393,30.35568047,,
100,"Bejarano, M., J. Etchevers, G. Ruiz-Suarez, and J. Campo. 2014. The effects of increased N input on soil C and N dynamics in seasonally dry tropical forests: An experimental approach. APPLIED SOIL ECOLOGY 73:105–115.",Denitrification,lab flux,1,20.85,-89.58,deciduous broadleaf tropical forests,DBF,1081.104736,26.56103134,954.8237915,75,763,755,1027.324585,-1.050460577,4.332559586,0.364899993,658.1199951,0,15,3.5,0.241553068,72.463974,,
100,"Bejarano, M., J. Etchevers, G. Ruiz-Suarez, and J. Campo. 2014. The effects of increased N input on soil C and N dynamics in seasonally dry tropical forests: An experimental approach. APPLIED SOIL ECOLOGY 73:105–115.",Denitrification,lab flux,1,19.63,-88.98,deciduous broadleaf tropical forests,EBF,1141.519043,26.29888916,1017.819031,72,502,456,914.6306152,-1.655905843,6.416231155,1.002400041,658.1199951,208,76,16,1.266631842,62.12096024,,
101,"Brummer, C., H. Papen, R. Wassmann, and N. Bruggemann. 2009. Termite mounds as hot spots of nitrous oxide emissions in South-Sudanian savanna of Burkina Faso (West Africa). GEOPHYSICAL RESEARCH LETTERS 36.",Denitrification,field flux,1,10.84,-3.15,grassland tropical C4,Grassland,981.0380859,28.21815491,866.0618896,65,121,92,370.4744873,-0.363438845,2.531372309,0.054499999,1136.180054,9132,256,4,0.364692152,102.4648743,2.062106848,1.870473862
103,"Breuer, L., R. Kiese, and K. Butterbach-Bahl. 2002. Temperature and moisture effects on nitrification rates in tropical rain-forest soils. SOIL SCIENCE SOCIETY OF AMERICA JOURNAL 66:834–844.",Denitrification,lab flux,1,-17.6,145.57,evergreen broadleaf tropical forest,EBF,2410.980957,19.44882965,1201.085693,52,506,309,432.0766602,-1.295314789,6.280964851,1.361600041,104.4300003,1710,989,24,1.465358019,63.5104866,,
103,"Breuer, L., R. Kiese, and K. Butterbach-Bahl. 2002. Temperature and moisture effects on nitrification rates in tropical rain-forest soils. SOIL SCIENCE SOCIETY OF AMERICA JOURNAL 66:834–844.",Denitrification,lab flux,2,-17.28,145.63,evergreen broadleaf tropical forest,EBF,2221.74292,21.11507797,1218.109497,55,361,258,469.621521,-1.208868504,5.282855988,2.127300024,104.4300003,1006,763.5,39,2.946850061,89.32117462,,
104,"Hall, S., G. Asner, and K. Kitayama. 2004. Substrate, climate, and land use controls over soil N dynamics and N-oxide emissions in Borneo. BIOGEOCHEMISTRY 70:27–58.",Denitrification,field flux,2,6.08,116.55,evergreen broadleaf tropical forest,EBF,2785.504639,10.35402775,750.4381104,52,1252,698,300.8786011,-1.2872082,5.81413269,0.327499986,271.4200134,8129,3929.5,137.5,10.92197418,23.79043007,,
104,"Hall, S., G. Asner, and K. Kitayama. 2004. Substrate, climate, and land use controls over soil N dynamics and N-oxide emissions in Borneo. BIOGEOCHEMISTRY 70:27–58.",Denitrification,field flux,6,6.08,116.55,evergreen broadleaf tropical forest,EBF,2785.504639,10.35402775,750.4381104,52,1252,698,300.8786011,-1.2872082,5.81413269,0.327499986,271.4200134,8129,3929.5,137.5,10.92197418,23.79043007,,
105,"Wood, T., and W. Silver. 2012. Strong spatial variability in trace gasdynamics following experimental drought in a humid tropical forest. GLOBAL BIOGEOCHEMICAL CYCLES 26.",Denitrification,field flux,1,18.3,-65.83,evergreen broadleaf tropical forest,EBF,2363.276123,22.05672455,1278.742798,47,955,619,469.2328796,-1.317179084,7.512785912,1.638200045,214.8999939,1140,649,136,11.99687386,27.56150055,,
106,"Iddris, N., M. Corre, M. Yemefack, O. van Straaten, and E. Veldkamp. 2020. Stem and soil nitrous oxide fluxes from rainforest and cacao agroforest on highly weathered soils in the Congo Basin. BIOGEOSCIENCES 17:5377–5397.",Denitrification,field flux,1,2.81,10.72,evergreen broadleaf tropical forest,EBF,2147.300049,24.04232025,1061.071411,44,720,413,371.8447571,-1.151039124,6.140350819,1.189499974,942.7700195,4572,647.5,20.5,1.276878834,58.44765854,,
106,"Iddris, N., M. Corre, M. Yemefack, O. van Straaten, and E. Veldkamp. 2020. Stem and soil nitrous oxide fluxes from rainforest and cacao agroforest on highly weathered soils in the Congo Basin. BIOGEOSCIENCES 17:5377–5397.",Denitrification,field flux,1,3.16,12.29,evergreen broadleaf tropical forest,EBF,1674.538086,24.32029724,1067.43811,50,429,348,366.440979,-1.374390721,6.591617584,1.380800009,942.7700195,9542,668,17,0.796506882,60.88785934,3.908080816,4.295571804
106,"Iddris, N., M. Corre, M. Yemefack, O. van Straaten, and E. Veldkamp. 2020. Stem and soil nitrous oxide fluxes from rainforest and cacao agroforest on highly weathered soils in the Congo Basin. BIOGEOSCIENCES 17:5377–5397.",Denitrification,field flux,1,3.93,12.43,evergreen broadleaf tropical forest,EBF,1557.361938,24.26859093,1100.519043,49,330,279,340.7567749,-1.246959448,6.466188431,1.399999976,942.7700195,7262,726.5,42.5,4.118238449,65.32337189,3.908080816,4.295571804
107,"Schwarz, M., Y. Oelmann, and W. Wilcke. 2011. Stable N isotope composition of nitrate reflects N transformations during the passage of water through a montane rain forest in Ecuador. BIOGEOCHEMISTRY 102:195–208.",Denitrification,inferred,1,-4,-79.08,evergreen broadleaf tropical forest,EBF,1226.252319,15.72448444,849.666687,54,1426,836,592.7387085,-0.584610283,4.594629288,1.835800052,85.73000336,46,2287,171.5,13.23484802,18.02890778,,
