study_id,ref,BNF_or_Denit,data_type,number_sites,latitude_decimal,longitude_decimal,biome_manuscript,Biome_rough,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_N_Dep,Extracted_DtB,Extracted_Elevation,Extracted_Roughness,Extracted_Slope,Extracted_Seasonality,Extracted_modelBNF,Extracted_modelNloss
206,"Fang, Y., K. Koba, A. Makabe, C. Takahashi, W. Zhu, T. Hayashi, A. Hokari, R. Urakawa, E. Bai, B. Houlton, D. Xi, S. Zhang, K. Matsushita, Y. Tu, D. Liu, F. Zhu, Z. Wang, G. Zhou, D. Chen, T. Makita, H. Toda, X. Liu, Q. Chen, D. Zhang, Y. Li, and M. Yoh. 2015. Microbial denitrification dominates nitrate losses from forest ecosystems. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 112:1470–1474.",Denitrification,inferred (isotope method),1,18.73,108.89,evergreen broadleaf tropical forest,EBF,1620.071411,20.86061478,998.6190186,52,678,378,422.5808411,-1.049892664,6.8834095,1.396199942,2710.689941,4720,911.5,84.5,7.975142479,76.87282562,,
207,"Cameron, C., L. Hutley, D. Friess, and N. Munksgaard. 2019. Hydroperiod, soil moisture and bioturbation are critical drivers of greenhouse gas fluxes and vary as a function of landuse change in mangroves of Sulawesi, Indonesia. SCIENCE OF THE TOTAL ENVIRONMENT 654:365â€“377.",Denitrification,field flux,1,1.56749,124.805963,mangrove,Permanent Wetlands,3061.890381,26.48579407,1330.295288,,,,505.9362488,,,,183.3099976,,0,9,0.891738653,,,
207,"Cameron, C., L. Hutley, D. Friess, and N. Munksgaard. 2019. Hydroperiod, soil moisture and bioturbation are critical drivers of greenhouse gas fluxes and vary as a function of landuse change in mangroves of Sulawesi, Indonesia. SCIENCE OF THE TOTAL ENVIRONMENT 654:365â€“377.",Denitrification,field flux,2,-5.461022,119.289916,mangrove,Permanent Wetlands,2054.514404,27.62372971,1036.423828,,,,,,,,895.4099731,2647,3,5,0.458692878,108.0977936,,
208,"Pineda, P., M. Bauters, H. Verbeeck, S. Baez, M. Barthel, S. Bod, and P. Boeckx. 2021. Ideas and perspectives: patterns of soil CO2, CH4, and N2O fluxes along an altitudinal gradient - a pilot study from an Ecuadorian neotropical montane forest. BIOGEOSCIENCES 18:413â€“421.",Denitrification,field flux,1,0.30805,-77.92971,evergreen broadleaf tropical forest,EBF,811.4523926,14.53888893,743.2285767,59,835,636,629.9848633,-0.711953878,3.837478876,1.117799997,912.3300171,2533,2689,301,28.33722115,26.11068153,4.3435812,2.794524193
208,"Pineda, P., M. Bauters, H. Verbeeck, S. Baez, M. Barthel, S. Bod, and P. Boeckx. 2021. Ideas and perspectives: patterns of soil CO2, CH4, and N2O fluxes along an altitudinal gradient - a pilot study from an Ecuadorian neotropical montane forest. BIOGEOSCIENCES 18:413â€“421.",Denitrification,field flux,1,0.381344,-78.286828,evergreen broadleaf tropical forest,EBF,813.166687,13.72615051,733.0999756,60,545,453,655.1783447,-0.651664197,3.359483004,1.654299974,912.3300171,1025,2848,112,11.06229877,45.43835831,4.3435812,2.794524193
208,"Pineda, P., M. Bauters, H. Verbeeck, S. Baez, M. Barthel, S. Bod, and P. Boeckx. 2021. Ideas and perspectives: patterns of soil CO2, CH4, and N2O fluxes along an altitudinal gradient - a pilot study from an Ecuadorian neotropical montane forest. BIOGEOSCIENCES 18:413â€“421.",Denitrification,field flux,1,0.150526,-79.263615,evergreen broadleaf tropical forest,EBF,2442.138184,24.7630558,809.852356,53,708,445,388.6677246,,,1.775200009,217.6999969,2951,139,13,0.698826432,74.10479736,,
208,"Pineda, P., M. Bauters, H. Verbeeck, S. Baez, M. Barthel, S. Bod, and P. Boeckx. 2021. Ideas and perspectives: patterns of soil CO2, CH4, and N2O fluxes along an altitudinal gradient - a pilot study from an Ecuadorian neotropical montane forest. BIOGEOSCIENCES 18:413â€“421.",Denitrification,field flux,1,0.030337,-78.866498,evergreen broadleaf tropical forest,EBF,2898.042969,20.34283829,854.5,50,667,519,629.6160278,-0.791559994,5.766597748,1.997200012,912.3300171,1597,1154.5,35.5,2.594736099,62.94168091,,
209,"Koehler, B., M. Corre, E. Veldkamp, H. Wullaert, and S. Wright. 2009. Immediate and long-term nitrogen oxide emissions from tropical forest soils exposed to elevated nitrogen input. GLOBAL CHANGE BIOLOGY 15:2049–2066.",Denitrification,field flux,1,9.1,-79.83,"""semideciduous tropical forest""",EBF,2384.600098,26.91954422,1272.461914,55,597,538,499.5263977,-0.872946084,6.270230293,1.022300005,1130.48999,9938,48,15.5,0.952937722,66.01840973,,
209,"Koehler, B., M. Corre, E. Veldkamp, H. Wullaert, and S. Wright. 2009. Immediate and long-term nitrogen oxide emissions from tropical forest soils exposed to elevated nitrogen input. GLOBAL CHANGE BIOLOGY 15:2049–2066.",Denitrification,field flux,1,8.75,-82.25,evergreen broadleaf tropical forest,EBF,3098.199951,18.80676651,1021.728577,52,908,635,432.1384583,-0.992766798,6.180771828,1.347000003,370.2799988,1200,1071.5,104.5,10.10344315,58.93287659,,
210,"Braker, G., D. Matthies, M. Hannig, F. Brandt, K. Brenzinger, and A. Grongroft. 2015. Impact of Land Use Management and Soil Properties on Denitrifier Communities of Namibian Savannas. MICROBIAL ECOLOGY 70:981–992.",Denitrification,microbial,1,-18.3,19.25,"""semiarid savanna""",Savannas,661.0761719,23.32476234,594.0428467,70,70,87,288.9422913,-0.214394644,1.926384091,0.386900008,479.5299988,579,1165,2,0.1383553,112.751503,4.966832161,3.428915262
