OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
80,54,54.1,1,19.421111,-155.286667,evergreen broadleaf tropical forests,Savannas,EBF,EBF,9,Primary,16,2850,1200,field flux,1987,"Matson, P., and P. Vitousek. 1987. CROSS-SYSTEM COMPARISONS OF SOIL NITROGEN TRANSFORMATIONS AND NITROUS OXIDE FLUX IN TROPICAL FOREST ECOSYSTEMS. GLOBAL BIOGEOCHEMICAL CYCLES 1:163â€“170.",CF,Hawaii Volcanos National Park (Kilauea),,,26,1729.138062,16.53160667,864.2571411,57,403,400,,-0.636624277,4.380115509,0.244900003,9,57.52999878,2194,1224,107,8.017121315,58.8518486,,
217,129,129.9,1,9.47,-1.15,"""dry forest""",Cropland,DBF,DBF,12,ND,26-36,1200,ND,field flux,2003,"Andersson, M., A. Kjoller, and S. Struwe. 2003. Soil emissions of nitrous oxide in fire-prone African savannas. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 108.",CF,,,"""dry forest""",82,1056.685669,28.84674644,982.9047852,60,132,118,340.9908447,-0.261796415,2.055646896,0.247899994,12,1136.180054,11408,148.5,8,0.790964603,85.66358948,6.218504906,3.953705549
214,129,129.5,1,9.27,-1.85,"""open woodland""",Savannas,Woody Savannas,Savannas,9,ND,26-32,1200,ND,field flux,2003,"Andersson, M., A. Kjoller, and S. Struwe. 2003. Soil emissions of nitrous oxide in fire-prone African savannas. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 108.",CF,,,"""open woodland""",82,1018.171448,28.45069504,954.147644,62,204,140,307.9408875,-0.561184406,3.318968534,0.279900014,9,1136.180054,7692,175,9,0.704645395,81.32904053,6.218504906,3.953705549
149,88,88.1,1,15.51,73.88,mangrove,Savannas,Mangrove,Permanent Wetlands,9,,ND,ND,ND,lab flux,2011,"Fernandes, S., and P. Bharathi. 2011. Nitrate levels modulate denitrification activity in tropical mangrove sediments (Goa, India). ENVIRONMENTAL MONITORING AND ASSESSMENT 173:117–125.",CF,,,mangrove,44,3229.538086,27.26914597,984.7999878,61,377,470,540.7180786,-0.638555884,3.678909779,0.299899995,9,1319.22998,9506,1,1.5,0.061874468,145.2128143,,
392,239,239.1,1,15.51,73.88,mangrove,Savannas,Mangrove,Permanent Wetlands,9,,ND,ND,ND,inferred?,2012,"Fernandes, S., P. Bonin, V. Michotey, N. Garcia, and P. LokaBharathi. 2012. Nitrogen-limited mangrove ecosystems conserve N through dissimilatory nitrate reduction to ammonium. SCIENTIFIC REPORTS 2.",CF,*impacted site,,mangrove,44,3229.538086,27.26914597,984.7999878,61,377,470,540.7180786,-0.638555884,3.678909779,0.299899995,9,1319.22998,9506,1,1.5,0.061874468,145.2128143,,
287,179,179.1,1,23.16,112.56,"""pine tree forest"" - evergreen coniferous tropical forest?",Urban and Built-up Lands,EBF,EBF,13,Secondary,21.4,1927,ND,field flux,2011,"Fang, H., G. Yu, S. Cheng, T. Zhu, J. Zheng, J. Mo, J. Yan, and Y. Luo. 2011. Nitrogen-15 signals of leaf-litter-soil continuum as a possible indicator of ecosystem nitrogen saturation by forest succession and N loads. BIOGEOCHEMISTRY 102:251–263.",CF,,,"""pine tree forest"" - evergreen coniferous tropical forest?",34,1739.271484,22.5408535,1042.504761,48,450,404,568.663208,-0.833088398,5.418343544,0.308299989,13,,3596,6.5,5,0.404465497,66.2835083,4.595430374,5.257109165
288,179,179.2,1,23.16,112.56,transitional forest (mix of pines and broadleaf species,Urban and Built-up Lands,Savannas,Savannas,13,Secondary,21.4,1927,ND,field flux,2011,"Fang, H., G. Yu, S. Cheng, T. Zhu, J. Zheng, J. Mo, J. Yan, and Y. Luo. 2011. Nitrogen-15 signals of leaf-litter-soil continuum as a possible indicator of ecosystem nitrogen saturation by forest succession and N loads. BIOGEOCHEMISTRY 102:251–263.",CF,,,transitional forest (mix of pines and broadleaf species,34,1739.271484,22.5408535,1042.504761,48,450,404,568.663208,-0.833088398,5.418343544,0.308299989,13,,3596,6.5,5,0.404465497,66.2835083,4.595430374,5.257109165
174,104,104.1,2,6.08,116.55,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,Primary,23.8,2509,675,field flux,2004,"Hall, S., G. Asner, and K. Kitayama. 2004. Substrate, climate, and land use controls over soil N dynamics and N-oxide emissions in Borneo. BIOGEOCHEMISTRY 70:27–58.",CF,,,Hill dipterocarp rainforest,26,2785.504639,10.35402775,750.4381104,52,1252,698,300.8786011,-1.2872082,5.81413269,0.327499986,8,271.4200134,8129,3929.5,137.5,10.92197418,23.79043007,,
175,104,104.3,6,6.08,116.55,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,Primary,13.92,2695,2473,field flux,2004,"Hall, S., G. Asner, and K. Kitayama. 2004. Substrate, climate, and land use controls over soil N dynamics and N-oxide emissions in Borneo. BIOGEOCHEMISTRY 70:27–58.",CF,,,evergreen broadleaf tropical forest,26,2785.504639,10.35402775,750.4381104,52,1252,698,300.8786011,-1.2872082,5.81413269,0.327499986,8,271.4200134,8129,3929.5,137.5,10.92197418,23.79043007,,
247,152,152.1,1,21.42,109.2,mangrove,Permanent Wetlands,Mangrove,Permanent Wetlands,11,,22.9,ND,ND,inferred,2021,"Liu, J., L. Zhan, W. Ye, J. Wen, G. Chen, Y. Li, and L. Chen. 2021. Fluxes of dissolved methane and nitrous oxide in the tidal cycle in a mangrove in South China. ENVIRONMENTAL CHEMISTRY 18:261–273.",JVO,"*flux from water, not soil...",,mangrove,,1619.776245,23.19245911,1110.661865,60,206,204,,-0.290948749,3.127489567,0.333600014,11,2710.689941,,2,3,0.239101961,75.96250153,,
