OBJECTID,study_id,site_id,number_sites,latitude_decimal,longitude_decimal,biome_IGBP,Gridded_IGBP,Biome,Biome_rough,Extracted_IGBP_Biome,forest_type,mat_c,map_mm,elevation_asl_m,data_type,pub_year,ref,collected_by,notes,Field16,Biome_decription_from_paper,Extracted_USDA_soil_taxonomy_suborders,Extracted_Terraclimate_ppt_2000_2020,Extracted_Terraclimate_mat_2000_2020,Extracted_Terraclimate_aet_2000_2020,Extracted_SoilGrids_pH,Extracted_SoilGrids_organiccarbon,Extracted_SoilGrids_nitrogen,Extracted_soil_total_phosphorus,Extracted_FluxCom_NEE_2001_2015,Extracted_FluxCom_GPP_2001_2015,Extracted_NPP_MODIS,Extracted_IGBP_Biome,N_Dep1,DtB1,Elevation,Roughness,Slope,Extracted_Seasonality,ExtractBNF1,ExtractNloss1
325,198,198.2,1,0.5,35.3,open shrubland*,Urban and Built-up Lands,Open Shrubland,Savannas,13,ND,24,920,2133,lab flux,2011,"Ngugi, D., R. Ji, and A. Brune. 2011. Nitrogen mineralization, denitrification, and nitrate ammonification by soil-feeding termites: a N-15-based approach. BIOGEOCHEMISTRY 103:355–369.",CF,**with termites in microcosm,,open shrubland*,82,1109.138062,17.67420578,936.9285889,60,336,319,636.9243164,-0.711928427,2.692970276,1.154800057,13,1442.47998,7125,2115.5,20.5,2.068171024,53.16001892,,
4,3,3.3,1,19.57,-96.45,mangrove,Woody Savannas,Mangrove,Permanent Wetlands,8,,17-37,1200-1650,,field flux,2020,"Hernandez, M., and D. Junca-Gomez. 2020. Carbon stocks and greenhouse gas emissions (CH4 and N2O) in mangroves with different vegetation assemblies in the central coastal of Veracruz Mexico. SCIENCE OF THE TOTAL ENVIRONMENT 741.",JVO,,,mangrove,75,1068.423828,25.12783813,901.8475952,65,290,210,,-1.216576219,5.002851486,1.157500029,8,282.3599854,176,120.5,99,8.854791641,97.24519348,,
241,149,149.1,2,-4.25,-73.2,wetland,Evergreen Broadleaf Forests,Permanent Wetlands,Permanent Wetlands,2,,26,3100,90,field flux,2017,"Teh, Y., W. Murphy, J. Berrio, A. Boom, and S. Page. 2017. Seasonal variability in methane and nitrous oxide fluxes from tropical peatlands in the western Amazon basin. BIOGEOSCIENCES 14:3669–3683.",CF,,,wetland,98,2887.147705,26.41365051,965.7904663,43,683,324,463.6498718,-1.304903746,6.774104595,1.157699943,2,333.2999878,2268,96,4,0.333521307,24.14993477,4.233501911,4.291415215
431,262,262.1,1,8.4,76.98,wetland,Woody Savannas,Permanent Wetlands,Permanent Wetlands,8,,ND,1800,29,field flux,2022,"Revathy Das and Appukuttan Krishnakumar. Implications of Methane Emissions in Biogeochemical Budgeting: A Study from a Tropical Wetland System, Kerala, India. Environmental Engineering Science.Feb 2022.114-124.http://doi.org/10.1089/ees.2021.0121",SL,,,vegetated littoral zone of Vellayani lake,75,1623.076172,27.33779907,1225.419067,54,458,470,,,,1.170899987,8,944.75,3618,59,38.5,3.191303968,65.66876984,,
249,154,154.1,1,-2.86,-54.96,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,Primary,26,2150,171,microbial,2019,"Merloti, L., L. Mendes, A. Pedrinho, L. de Souza, B. Ferrari, and S. Tsai. 2019. Forest-to-agriculture conversion in Amazon drives soil microbial communities and N-cycle. SOIL BIOLOGY & BIOCHEMISTRY 137.",JVO,,,"""preserved natural forest""",34,1908.971436,26.36279678,1030.80957,42,325,247,340.7363281,-1.316704273,6.96111536,1.173499942,2,576.25,3726,198,4.5,0.202190563,65.16786194,,
69,46,46.4,1,6.22,-5.03,*savanna and forest?,Savannas,Savannas,Savannas,9,ND,ND,1200,ND,field flux,1998,"Serca, D., R. Delmas, X. Le Roux, D. Parsons, M. Scholes, L. Abbadie, R. Lensi, O. Ronce, and L. Labroue. 1998. Comparison of nitrogen monoxide emissions from several African tropical ecosystems and influence of season and fire. GLOBAL BIOGEOCHEMICAL CYCLES 12:637–651.",CF,,,*savanna and forest?,62,1202.238159,27.24561691,1051.671387,62,358,247,353.8822937,-0.746204794,5.150640488,1.178500056,9,1175.77002,12877,82.5,27,2.193061352,55.44247818,,
202,125,125.1,1,6.22,-5.03,"""forest""",Savannas,Savannas,Savannas,9,ND,ND,1210,ND,lab flux,1995,"LEROUX, X., L. ABBADIE, R. LENSI, and D. SERCA. 1995. EMISSION OF NITROGEN MONOXIDE FROM AFRICAN TROPICAL ECOSYSTEMS - CONTROL OF EMISSION BY SOIL CHARACTERISTICS IN HUMID AND DRY SAVANNAS OF WEST-AFRICA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 100:23133–23142.",JVO,,,"""forest""",62,1202.238159,27.24561691,1051.671387,62,358,247,353.8822937,-0.746204794,5.150640488,1.178500056,9,1175.77002,12877,82.5,27,2.193061352,55.44247818,,
203,125,125.2,1,6.22,-5.03,"""savannah""*",Savannas,Savannas,Savannas,9,ND,ND,1210,ND,lab flux,1995,"LEROUX, X., L. ABBADIE, R. LENSI, and D. SERCA. 1995. EMISSION OF NITROGEN MONOXIDE FROM AFRICAN TROPICAL ECOSYSTEMS - CONTROL OF EMISSION BY SOIL CHARACTERISTICS IN HUMID AND DRY SAVANNAS OF WEST-AFRICA. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 100:23133–23142.",JVO,*one forest site and 4 savannah sites. I bet they qualify under different IGBP classifications.,,"""savannah""*",62,1202.238159,27.24561691,1051.671387,62,358,247,353.8822937,-0.746204794,5.150640488,1.178500056,9,1175.77002,12877,82.5,27,2.193061352,55.44247818,,
74,50,50.1,1,-19.78,47.1,unclear if evergreen or deciduos,Cropland,DBF,DBF,12,ND,16,1300,1613m,lab flux,2014,"Majeed, M., E. Miambi, I. Barois, R. Randriamanantsoa, E. Blanchart, and A. Brauman. 2014. Contribution of white grubs (Scarabaeidae: Coleoptera) to N2O emissions from tropical soils. SOIL BIOLOGY & BIOCHEMISTRY 75:37–44.",CF,,,?,32,1331.457153,16.93186569,855.4952393,55,375,249,629.4520264,-0.690232933,2.900315046,1.17990005,12,808.0300293,4183,1608.5,24.5,1.959319353,89.80284119,,
297,183,183.1,1,-19.78,47.1,?,Cropland,Grassland,Grassland,12,ND,16,1300,1600,microbial,2010,"Chapuis-Lardy, L., A. Brauman, L. Bernard, A. Pablo, J. Toucet, M. Mano, L. Weber, D. Brunet, T. Razafimbelo, J. Chotte, and E. Blanchart. 2010. Effect of the endogeic earthworm Pontoscolex corethrurus on the microbial structure and activity related to CO2 and N2O fluxes from a tropical soil (Madagascar). APPLIED SOIL ECOLOGY 45:201–208.",JVO,*used mesocosms,,"""Aristida sp. fallows at Andranomanelatra in the Malagasy Highlands, near the city of Antsirabe""",32,1331.457153,16.93186569,855.4952393,55,375,249,629.4520264,-0.690232933,2.900315046,1.17990005,12,808.0300293,4183,1608.5,24.5,1.959319353,89.80284119,,
231,139,139.1,1,-3.02,-54.97,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,ND,25,2000,ND,field flux,2003,"Varner, R., M. Keller, J. Robertson, J. Dias, H. Silva, P. Crill, M. McGroddy, and W. Silver. 2003. Experimentally induced root mortality increased nitrous oxide emission from tropical forest soils. GEOPHYSICAL RESEARCH LETTERS 30.",JVO,*lat and long from: https://daac.ornl.gov/LBA/guides/CD04_LAI_km83.html,,evergreen broadleaf tropical forest,34,1906.190552,26.30031586,1021.43811,41,408,262,247.8152924,-1.281694651,6.956822395,1.182199955,2,576.25,4133,181.5,6.5,0.560279489,64.42896271,2.825049162,2.723903418
451,282,282.2,1,18.166111,-88.524444,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,ND,ND,ND,field flux(?),2010,"Pivničková, B., Rejmánková, E., Snyder, J.M. et al. Heterotrophic microbial activities and nutritional status of microbial communities in tropical marsh sediments of different salinities: the effects of phosphorus addition and plant species. Plant Soil 336, 49–63 (2010). https://doi.org/10.1007/s11104-010-0439-6",SL,*both lab and field flux components,,"marshes of diverse salinities, all dominated by sparse macrophytes",95,1432.233398,26.75680542,1220.909546,70,677,490,745.5001831,-0.668120384,5.11836338,1.186699986,9,658.1199951,0,6,5.5,0.286820173,60.26187897,,
177,106,106.1,1,2.81,10.72,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,ND,23.5,2064,651,field flux,2020,"Iddris, N., M. Corre, M. Yemefack, O. van Straaten, and E. Veldkamp. 2020. Stem and soil nitrous oxide fluxes from rainforest and cacao agroforest on highly weathered soils in the Congo Basin. BIOGEOSCIENCES 17:5377–5397.",CF,,,*deciduous broadleaf tropical forests,34,2147.300049,24.04232025,1061.071411,44,720,413,371.8447571,-1.151039124,6.140350819,1.189499974,2,942.7700195,4572,647.5,20.5,1.276878834,58.44765854,,
66,46,46.1,1,-4.2,12.45,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,ND,1400,ND,field flux,1998,"Serca, D., R. Delmas, X. Le Roux, D. Parsons, M. Scholes, L. Abbadie, R. Lensi, O. Ronce, and L. Labroue. 1998. Comparison of nitrogen monoxide emissions from several African tropical ecosystems and influence of season and fire. GLOBAL BIOGEOCHEMICAL CYCLES 12:637–651.",CF,,,rain forest,63,1480.185669,24.26765823,851.8475952,48,406,228,354.6408691,-1.217516661,6.463427067,1.191400051,2,486.3200073,8341,525.5,126.5,10.88469505,81.65114594,,
11,9,9.1,1,-3.07,-54.98,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,Primary,ND,ND,,field flux,2011,"Park, S., T. Perez, K. Boering, S. Trumbore, J. Gil, S. Marquina, and S. Tyler. 2011. Can N2O stable isotopes and isotopomers be useful tools to characterize sources and microbial pathways of N2O production and consumption in tropical soils? GLOBAL BIOGEOCHEMICAL CYCLES 25.",JVO,"*amazon tropical rainforest, has rainy season",,*,32,1894.876221,26.44559479,1023.471436,41,283,235,247.8152924,-1.281694651,6.956822395,1.196099997,2,576.25,4164,169,20.5,1.71669054,64.65756989,2.825049162,2.723903418
104,63,63.1,1,-3.07,-54.98,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,Primary,25,2000,ND,field flux,2005,"Silver, W., A. Thompson, M. McGroddy, R. Varner, J. Dias, H. Silva, P. Crill, and M. Keller. 2005. Fine root dynamics and trace gas fluxes in two lowland tropical forest soils. GLOBAL CHANGE BIOLOGY 11:290–306.",FS,,,evergreen broadleaf tropical forests,32,1894.876221,26.44559479,1023.471436,41,283,235,247.8152924,-1.281694651,6.956822395,1.196099997,2,576.25,4164,169,20.5,1.71669054,64.65756989,2.825049162,2.723903418
99,61,61.1,1,-2.9,-54.95,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,,,2000,ND,field flux,2004,"Davidson, E., F. Ishida, and D. Nepstad. 2004. Effects of an experimental drought on soil emissions of carbon dioxide, methane, nitrous oxide, and nitric oxide in a moist tropical forest. GLOBAL CHANGE BIOLOGY 10:718–730.",FS,,,evergreen broadleaf tropical forests,32,1907.328613,26.26946449,1022.842834,41,336,249,340.7363281,-1.316704273,6.96111536,1.20480001,2,576.25,3292,196,4,0.275552899,65.32118988,2.825049162,2.723903418
136,83,83.1,1,-2.9,-54.95,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,ND,2000,ND,field flux,2002,"Nepstad, D., P. Moutinho, M. Dias, E. Davidson, G. Cardinot, D. Markewitz, R. Figueiredo, N. Vianna, J. Chambers, D. Ray, J. Guerreiros, P. Lefebvre, L. Sternberg, M. Moreira, L. Barros, F. Ishida, I. Tohlver, E. Belk, K. Kalif, and K. Schwalbe. 2002. The effects of partial throughfall exclusion on canopy processes, aboveground production, and biogeochemistry of an Amazon forest. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 107.",CF,,,*evergreen broadleaf tropical forests,32,1907.328613,26.26946449,1022.842834,41,336,249,340.7363281,-1.316704273,6.96111536,1.20480001,2,576.25,3292,196,4,0.275552899,65.32118988,2.825049162,2.723903418
289,179,179.3,1,23.19,112.51,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,Primary,21.4,1927,ND,field flux,2011,"Fang, H., G. Yu, S. Cheng, T. Zhu, J. Zheng, J. Mo, J. Yan, and Y. Luo. 2011. Nitrogen-15 signals of leaf-litter-soil continuum as a possible indicator of ecosystem nitrogen saturation by forest succession and N loads. BIOGEOCHEMISTRY 102:251–263.",CF,,,evergreen broadleaf tropical forest,89,1806.004761,20.98587227,1014.723816,50,401,419,568.663208,-0.953837276,5.60710001,1.211199999,2,,848,648.5,287,24.50340652,67.58983612,4.595430374,5.257109165
160,96,96.1,1,5.32,115.66,wetland,Evergreen Broadleaf Forests,Permanent Wetlands,Permanent Wetlands,2,,ND,ND,ND,field flux,2018,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",JVO,"*used as planation, prob too agricultural?","*as far as I can tell, original measurements were taken all over the world, even though this looks like a secondary source at first glance",wetland,11,4222.590332,27.89704514,1460.56665,52,1037,488,729.1248779,-1.888298631,7.813860416,1.21389997,2,271.4200134,2221,34.5,11,0.553346634,20.25130272,,
194,116,116.1,1,-3.04,-54.95,*semi-deciduous broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,25,2000,ND,field flux,2005,"Keller, M., R. Varner, J. Dias, H. Silva, P. Crill, and R. de Oliveira. 2005. Soil-atmosphere exchange of nitrous oxide, nitric oxide, methane, and carbon dioxide in logged and undisturbed forest in the Tapajos National Forest, Brazil. EARTH INTERACTIONS 9.",CF,*coordinates vague,,,34,1905.771362,26.4200592,1022.971436,41,283,253,247.8152924,-1.281694651,6.956822395,1.233100057,2,576.25,2709,154.5,26,2.185319424,64.62734222,2.825049162,2.723903418
441,273,273.1,1,-3.04,-54.95,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,25,2000,ND,field flux,2005,"Keller, Michael & Varner, Ruth & Dias, Jadson & Silva, H. & Crill, Patrick & Oliveira Junior, Raimundo & Asner, Gregory. (2005). Soil Atmosphere Exchange of Nitrous Oxide, Nitric Oxide, Methane, and Carbon Dioxide in Logged and Undisturbed Forest in the Tapajos National Forest, Brazil. Earth Interactions - EARTH INTERACT. 9. 10.1175/EI125.1. ",SL,,,Tapajos National Forest,34,1905.771362,26.4200592,1022.971436,41,283,253,247.8152924,-1.281694651,6.956822395,1.233100057,2,576.25,2709,154.5,26,2.185319424,64.62734222,2.825049162,2.723903418
143,85,85.3,1,-17.55,145.97,evergreen broadleaf tropical forests,Cropland/Natural Vegetation Mo- saics,EBF,EBF,14,ND,24.1,3609,60,field flux,2002,"Kiese, R., and K. Butterbach-Bahl. 2002. N2O and CO2 emissions from three different tropical forest sites in the wet tropics of Queensland, Australia. SOIL BIOLOGY & BIOCHEMISTRY 34:975–987.",CF,,,complex mesophyll vine forest,32,3820.342773,24.05861092,1386.185669,52,537,334,432.0766602,-0.854157329,5.258936405,1.233500004,14,104.4300003,3701,43.5,30.5,2.682002068,88.28977203,,
196,119,119.1,2,23.166667,112.55,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,ND,21,"1,927",ND,field flux,2009,"Fang, Y., P. Gundersen, W. Zhang, G. Zhou, J. Christiansen, J. Mo, S. Dong, and T. Zhang. 2009. Soil-atmosphere exchange of N2O, CO2 and CH4 along a slope of an evergreen broad-leaved forest in southern China. PLANT AND SOIL 319:37–48.",CF,,,evergreen broadleaf tropical forest,89,1743.009521,22.49127007,1039.523804,48,416,401,568.663208,-0.953837276,5.60710001,1.238199949,8,,600,110,142.5,11.98076534,66.17430878,4.595430374,5.257109165
279,174,174.1,1,23.17,112.55,evergreen broadleaf tropical forest,Woody Savannas,EBF,EBF,8,Primary,21,1927,ND,field flux,2017,"Chen, H., W. Zhang, G. Gurmesa, X. Zhu, D. Li, and J. Mo. 2017. Phosphorus addition affects soil nitrogen dynamics in a nitrogen-saturated and two nitrogen-limited forests. EUROPEAN JOURNAL OF SOIL SCIENCE 68:472–479.",CF,,,evergreen broadleaf tropical forest,84,1743.009521,22.49127007,1039.523804,48,416,401,568.663208,-0.953837276,5.60710001,1.238199949,8,,508,110,142.5,11.98076534,66.17430878,4.595430374,5.257109165
281,174,174.3,1,23.17,112.55,coniferous evergreen tropical forest (pine forest),Woody Savannas,EBF,EBF,8,Secondary,21,1927,ND,field flux,2017,"Chen, H., W. Zhang, G. Gurmesa, X. Zhu, D. Li, and J. Mo. 2017. Phosphorus addition affects soil nitrogen dynamics in a nitrogen-saturated and two nitrogen-limited forests. EUROPEAN JOURNAL OF SOIL SCIENCE 68:472–479.",CF,,,coniferous evergreen tropical forest (pine forest),84,1743.009521,22.49127007,1039.523804,48,416,401,568.663208,-0.953837276,5.60710001,1.238199949,8,,508,110,142.5,11.98076534,66.17430878,4.595430374,5.257109165
280,174,174.2,1,23.17,112.55,transitional forest (mix of pines and broadleaf species,Woody Savannas,Woody Savannas,Savannas,8,Secondary,21,1927,ND,field flux,2017,"Chen, H., W. Zhang, G. Gurmesa, X. Zhu, D. Li, and J. Mo. 2017. Phosphorus addition affects soil nitrogen dynamics in a nitrogen-saturated and two nitrogen-limited forests. EUROPEAN JOURNAL OF SOIL SCIENCE 68:472–479.",CF,,,transitional forest (mix of pines and broadleaf species,84,1743.009521,22.49127007,1039.523804,48,416,401,568.663208,-0.953837276,5.60710001,1.238199949,8,,508,110,142.5,11.98076534,66.17430878,4.595430374,5.257109165
305,187,187.1,1,23.17,112.55,evergreen broadleaf tropical forests,Woody Savannas,Woody Savannas,Savannas,8,Primary,21,1927,250-300,field flux,2015,"Chen, H., G. Gurmesa, W. Zhang, X. Zhu, M. Zheng, Q. Mao, T. Zhang, and J. Mo. 2016. Nitrogen saturation in humid tropical forests after 6years of nitrogen and phosphorus addition: hypothesis testing. FUNCTIONAL ECOLOGY 30:305–313.",CF,,,monsoon evergreen broadleaf tropical forest,84,1743.009521,22.49127007,1039.523804,48,416,401,568.663208,-0.953837276,5.60710001,1.238199949,8,,508,110,142.5,11.98076534,66.17430878,4.595430374,5.257109165
45,27,27.1,1,23.15,112.52,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,1,1700,,lab flux,2014,"Yan, J., W. Zhang, K. Wang, F. Qin, W. Wang, H. Dai, and P. Li. 2014. Responses of CO2, N2O and CH4 fluxes between atmosphere and forest soil to changes in multiple environmental conditions. GLOBAL CHANGE BIOLOGY 20:300–312.",JVO,"*""subtropical monsoon humid climate""",,*,89,1762.619019,22.03648758,1038.571411,50,441,436,568.663208,-0.833088398,5.418343544,1.243199944,2,,410,185,140.5,12.27000809,66.63771057,4.595430374,5.257109165
396,241,241.1,1,0.13,34.77,evergreen broadleaf tropical forests,Cropland/Natural Vegetation Mo- saics,EBF,EBF,14,primary,17.5,1662,1500-1700,field flux,2007,"Werner, C., R. Kiese, and K. Butterbach-Bahl. 2007. Soil-atmosphere exchange of N2O, CH4, and CO2 and controlling environmental factors for tropical rain forest sites in western Kenya. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 112.",CF,,,evergreen broadleaf tropical forests,84,1873.766724,21.09081268,1283.557129,55,479,364,581.5765381,-1.345484972,4.974192619,1.244699955,14,1641.449951,6321,1595,31,2.784385681,35.7395668,,
226,135,135.1,1,-4.5,12.5,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,,ND,1400,<900,field flux,1994,"SERCA, D., R. DELMAS, C. JAMBERT, and L. LABROUE. 1994. EMISSIONS OF NITROGEN-OXIDES FROM EQUATORIAL RAIN-FOREST IN CENTRAL-AFRICA - ORIGIN AND REGULATION OF NO EMISSION FROM SOILS. TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY 46:243–254.",JVO,,,ND,63,1390.814331,25.179245,861.6714478,49,300,226,354.6408691,-1.130045176,6.297839642,1.247499943,2,294.6199951,8424,208,23.5,1.667276144,81.77933502,,
332,204,204.1,1,21.93,101.25,evergreen broadleaf tropical forest,Savannas,EBF,EBF,9,Primary,21.5,1557,ND,field flux,2021,"Zhou, W., D. Xi, Y. Fang, A. Wang, L. Sha, Q. Song, Y. Liu, L. Zhou, R. Zhou, Y. Lin, J. Gao, D. Balasubramanian, L. Lin, H. Chen, Y. Deng, W. Zhang, and Y. Zhang. 2021. Microbial processes responsible for soil N2O production in a tropical rainforest, illustrated using an in situ N-15 labeling approach. CATENA 202.",CF,,,*deciduous broadleaf tropical forests,89,1637.909546,23.18870926,1103.276245,59,257,262,362.3119507,-1.59642458,6.355738163,1.25,9,1630.800049,3174,552,16,1.320315242,76.21311951,5.458588123,5.898022652
324,197,197.1,3,0.06,114,evergreen broadleaf tropical forests,Evergreen Broadleaf Forests,EBF,EBF,2,ND,25.4,3625,180,lab flux,2007,"Vernimmen, R., H. Verhoet, J. Verstraten, L. Bruijnzeel, N. Kiomp, H. Zoomer, and P. Wartenbergh. 2007. Nitrogen mineralization, nitrification and denitrification potential in contrasting lowland rain forest types in Central Kalimantan, Indonesia. SOIL BIOLOGY & BIOCHEMISTRY 39:2992–3003.",CF,,,evergreen broadleaf tropical forests,62,4117.852539,25.71609116,1197.085693,47,1000,487,343.0950928,-1.109207153,7.160614491,1.252099991,2,675.0900269,181,553,176,16.98768997,20.63592911,6.277746201,9.097210884
96,60,60.4,1,-21.02,-44.09,wetland,Savannas,Permanent Wetlands,Permanent Wetlands,9,,ND,ND,ND,field flux,2022,"Buessecker, S., A. Sarno, M. Reynolds, R. Chavan, J. Park, M. Ortiz, A. Perez-Castillo, G. Pisco, J. Urquiza-Munoz, L. Reis, J. Ferreira-Ferreira, J. Maia, K. Holbert, C. Penton, S. Hall, H. Gandhi, I. Boechat, B. Gucker, N. Ostrom, and H. Cadillo-Quiroz. 2022. Coupled abiotic-biotic cycling of nitrous oxide in tropical peatlands. NATURE ECOLOGY & EVOLUTION 6:1881-+.",FS,"""peatland""",,wetland,34,1471.218994,19.52124977,876.5142822,54,259,228,493.6993408,-0.722801089,3.489431143,1.253299952,9,1922.599976,2179,1028.5,42.5,3.210089684,81.37762451,,
209,128,128.3,1,-1,-77.08,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,ND,ND,4500,ND,field flux,1986,"KELLER, M., W. KAPLAN, and S. WOFSY. 1986. EMISSIONS OF N2O, CH4 AND CO2 FROM TROPICAL FOREST SOILS. JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES 91:1791–1802.",JVO,,,ND,62,3866.957275,24.50365067,927.1333008,47,980,498,372.2038879,-1.052913547,6.671682835,1.261299968,2,1704.859985,1420,364.5,69.5,6.392793655,19.26275063,1.916504979,1.729059815
322,196,196.6,1,-3.51,-54.42,wetland,Evergreen Broadleaf Forests,Permanent Wetlands,Permanent Wetlands,2,,ND,ND,ND,lab flux,2014,"Liengaard, L., V. Figueiredo, R. Markfoged, N. Revsbech, L. Nielsen, A. Prast, and M. Kuhl. 2014. Hot moments of N2O transformation and emission in tropical soils from the Pantanal and the Amazon (Brazil). SOIL BIOLOGY & BIOCHEMISTRY 75:26–36.",JVO,,,wetland,62,1788.366699,26.67740059,1006.861877,42,352,252,294.2578735,-1.199734092,6.799830914,1.265499949,2,576.25,3124,110,31,2.386706829,64.88723755,3.51350832,3.197499752
61,42,42.1,1,4.99,-52.45,wetland,Woody Savannas,Permanent Wetlands,Permanent Wetlands,8,,26,3000-4000,ND,field flux,2018,"Espenberg, M., M. Truu, U. Mander, K. Kasak, H. Nolvak, T. Ligi, K. Oopkaup, M. Maddison, and J. Truu. 2018. Differences in microbial community structure and nitrogen cycling in natural and drained tropical peatland soils. SCIENTIFIC REPORTS 8.",FS,"peatland, drained",,wetland,98,2349.619141,26.19992065,1273.400024,49,626,478,456.3006287,-0.810390711,5.570723534,1.26820004,8,175.7799988,5579,9,6.5,0.51283145,49.85140991,,
162,96,96.3,1,4.99,-52.45,wetland,Woody Savannas,Permanent Wetlands,Permanent Wetlands,8,,ND,ND,ND,field flux,2018,"Parn, J., J. Verhoeven, K. Butterbach-Bahl, N. Dise, S. Ullah, A. Aasa, S. Egorov, M. Espenberg, J. Jarveoja, J. Jauhiainen, K. Kasak, L. Klemedtsson, A. Kull, F. Laggoun-Defarge, E. Lapshina, A. Lohila, K. Lohmus, M. Maddison, W. Mitsch, C. Muller, U. Niinemets, B. Osborne, T. Pae, J. Salm, F. Sgouridis, K. Sohar, K. Soosaar, K. Storey, A. Teemusk, M. Tenywa, J. Tournebize, J. Truu, G. Veber, J. Villa, S. Zaw, and U. Mander. 2018. Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots. NATURE COMMUNICATIONS 9.",JVO,"*""transitional bog""",,wetland,98,2349.619141,26.19992065,1273.400024,49,626,478,456.3006287,-0.810390711,5.570723534,1.26820004,8,175.7799988,5579,9,6.5,0.51283145,49.85140991,,
336,206,206.3,1,23.17,112.54,evergreen broadleaf tropical forest,Evergreen Broadleaf Forests,EBF,EBF,2,Primary,21,1997,ND,inferred (isotope method),2015,"Fang, Y., K. Koba, A. Makabe, C. Takahashi, W. Zhu, T. Hayashi, A. Hokari, R. Urakawa, E. Bai, B. Houlton, D. Xi, S. Zhang, K. Matsushita, Y. Tu, D. Liu, F. Zhu, Z. Wang, G. Zhou, D. Chen, T. Makita, H. Toda, X. Liu, Q. Chen, D. Zhang, Y. Li, and M. Yoh. 2015. Microbial denitrification dominates nitrate losses from forest ecosystems. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 112:1470–1474.",CF,,,broadleaf forest (ND on evergreen vs deciduous),89,1806.004761,20.98587227,1014.723816,49,468,345,568.663208,-0.953837276,5.60710001,1.270900011,2,,204,326,152,12.99755001,66.74044037,4.595430374,5.257109165
191,115,115.1,1,23.17375,112.536111,pine forest,Evergreen Broadleaf Forests,EBF,EBF,2,Secondary,21.4,1927,50-200,field flux,2006,"Tang, X., S. Liu, G. Zhou, D. Zhang, and C. Zhou. 2006. Soil-atmospheric exchange of CO2, CH4, and N2O in three subtropical forest ecosystems in southern China. GLOBAL CHANGE BIOLOGY 12:546â€“560.",CF,"*range of coords, noted avg",,,89,1806.004761,20.98587227,1014.723816,50,459,383,568.663208,-0.953837276,5.60710001,1.274999976,2,,608,326,152,12.99755001,66.74044037,4.595430374,5.257109165
192,115,115.2,1,23.17375,112.536111,"conifer, and broadleaf mixed forest",Evergreen Broadleaf Forests,EBF,EBF,2,Secondary,21.4,1927,ND,field flux,2006,"Tang, X., S. Liu, G. Zhou, D. Zhang, and C. Zhou. 2006. Soil-atmospheric exchange of CO2, CH4, and N2O in three subtropical forest ecosystems in southern China. GLOBAL CHANGE BIOLOGY 12:546â€“560.",CF,"*range of coords, noted avg",,,89,1806.004761,20.98587227,1014.723816,50,459,383,568.663208,-0.953837276,5.60710001,1.274999976,2,,608,326,152,12.99755001,66.74044037,4.595430374,5.257109165
