Lat,Long,PresAbs,Type
-19.3661,-42.5517,1,Denit
21.3354,-157.7147,1,Denit
21.3354,-157.7147,1,Denit
21.3354,-157.7147,1,Denit
18.45,-66.1667,1,Denit
18.45,-66.1667,1,Denit
7.5013,3.9099,1,Denit
13.7333,-15.7833,1,Denit
16.3996,-61.4841,1,Denit
-1.5167,37.3167,1,Denit
8.4,-83.3167,1,Denit
23.1667,112.1667,1,Denit
23.1667,112.1667,1,Denit
-12.3493,-50.8105,1,Denit
-12.3493,-50.8105,1,Denit
-13.0667,-52.3833,1,Denit
4.08,-52.68,1,Denit
10.108,-84.1029,1,Denit
-3.0515,-60.0117,1,Denit
8.3725,9.3852,1,Denit
5.5853,8.528,1,Denit
-2.1799,36.8474,1,Denit
-2.4179,37.9583,1,Denit
-1.9019,36.3014,1,Denit
7.3833,3.577,1,Denit
6.826,3.6118,1,Denit
7.406,3.8985,1,Denit
-21.3321,164.972,1,Denit
-20.372,164.2598,1,Denit
-20.7867,167.1227,1,Denit
-20.2274,164.0791,1,Denit
-21.1333,164.9154,1,Denit
6.6833,-1.6333,1,Denit
12.3491,-16.7161,1,Denit
0.4667,32.6,1,Denit
8.0333,79.8333,1,Denit
-4.5,15.3,1,Denit
2.9993,101.7089,1,Denit
19.476,-155.4648,1,Denit
19.476,-155.4648,1,Denit
19.4721,-155.5929,1,Denit
19.5852,-155.1642,1,Denit
-22.43694,114.34611,1,Denit
21.51667,88.16667,1,Denit
-18.21667,146.18333,1,Denit
18.9455,109.3048,1,Denit
5.255,-52.94967,1,Denit
22.43674,113.64059,1,Denit
-6.41383,39.48,1,Denit
-0.82556,36.33515,1,Denit
18.16611,-88.52444,1,Denit
18.44419,-88.51509,1,Denit
18.17314,-88.51273,1,Denit
17.90279,-88.41604,1,Denit
17.72206,-88.41461,1,Denit
16.3262,-61.57175,1,Denit
-18.96667,-56.65,1,Denit
21.015,-97.78333,1,Denit
11.38333,79.75,1,Denit
10.18,-61.16,1,Denit
10.18,-61.16,1,Denit
10.4233,-84.022,1,Denit
10.4233,-84.022,1,Denit
-14.417,-39.083,1,Denit
-14.417,-39.083,1,Denit
-13.067,-52.383,1,Denit
-13.067,-52.383,1,Denit
-21.978,-43.045,1,Denit
-21.978,-43.045,1,Denit
-21.978,-43.045,1,Denit
-21.978,-43.045,1,Denit
9.2114,-79.7266,1,Denit
9.2114,-79.7266,1,Denit
16.4094,-88.6009,1,Denit
-4.11,-79.178,1,Denit
9.1542,-79.8458,1,Denit
14.5,101.9333,1,Denit
9.2802,-79.9754,1,Denit
9.2334,-79.697,1,Denit
10.4311,-84.007,1,Denit
10.4311,-84.007,1,Denit
-6.8333,37.6333,1,Denit
9.15,-79.85,1,Denit
-7.5,147,1,Denit
6.3696,80.4933,1,Denit
6.3696,80.4933,1,Denit
1.9333,-67.05,1,Denit
19.4167,-155.25,1,Denit
16.044,-61.6636,1,Denit
16.044,-61.6636,1,Denit
19.1,-155.55,1,Denit
19.1,-155.55,1,Denit
-2.8918,-59.9725,1,Denit
-3.0952,-59.9896,1,Denit
-3.5012,-61.7936,1,Denit
19.4721,-155.5929,1,Denit
19.4721,-155.5929,1,Denit
19.4721,-155.5929,1,Denit
19.4721,-155.5929,1,Denit
19.5852,-155.1642,1,Denit
19.5852,-155.1642,1,Denit
8.7167,-83.6167,1,Denit
-13.7671,-71.2997,1,Denit
19.3333,-155.2333,1,Denit
19.95,-155.3167,1,Denit
20.0667,-155.7,1,Denit
22.1333,-159.6333,1,Denit
-6.98,-37.3,1,Denit
